"Now Shopping by","Ora acquista per"
"Something went wrong while deleting this version.","Qualcosa è andato storto durante l'eliminazione di queste versioni."
"We can't find a version to delete.","Non è possibile trovare una versione da eliminare."
"Edit Version","Modifica versione"
"Please select revision(s).","Seleziona revisioni."
"Something went wrong while deleting the revisions.","Qualcosa è andato storto durante l'eliminazione delle revisioni."
"You have created the new version.","È stata creata la nuova versione."
"You have saved the version.","Hai salvato la versione."
"Revision #%1 could not be removed because it is published.","La revisione #%1 non può essere rimosso perché è stata pubblicata."
"CMS Revision with id ""%1"" does not exist.","La revisione CMS con id ""%1"" non esiste."
"Please enter a version label.","Inserisci un'etichetta versione."
"Cannot change version access level because it is the last public version for its page.","Non è possibile modificare il livello di accesso della versione perché è l'ultima versione pubblica per quella pagina."
"Version ""%1"" cannot be removed because it is the last public page version.","La versione ""%1"" non può essere rimossa perché è l'ultima versione pubblica della pagina."
"Version ""%1"" cannot be removed because its revision is published.","La versione ""%1"" non può essere rimossa perché la sua revisione è pubblicata."
"CMS Version with id ""%1"" does not exist.","La versione CMS con id ""%1"" non esiste."
Published,Pubblicato
"[No Owner]","[Nessun proprietario]"
"Enabled by Default","Abilitato di default"
"Disabled by Default","Disabilitato di default"
"Under Version Control","Sotto il controllo della versione"
"Currently Published Revision","Revisioni attualmente pubblicati"
"The published revision is unavailable.","La revisione pubblicata non è disponibile."
"Some error","Qualche errore"
"There are unsaved node data. Are you sure you want to continue?","Ci sono dati del nodo non salvati. Sei sicuro di voler continuare?"
Loading...,Caricamento...
"Please wait...",Attendere...
"Choose Revision","Scegli Revisione"
"Current Modification","Modifica corrente"
"Revision #%1","Revisione #%1"
"Choose Store View:","Scegli vista negozio:"
"Revision #","Revisione #"
"New Revision","Nuova revisione"
Author:,Autore:
Created:,Creato:
Version:,Versione:
"This Page Belongs To","Questa pagina appartiene a"
"Version Revisions","Revisioni versione"
"CMS Versioning","Versionamento CMS"
"CMS Page Default Versioning","Versionamento predefinito Pagine CMS"
"Export VCL for Varnish %1","Esporta VCL per Varnish %1"
"Ttl value ""%1"" is not valid. Please use only numbers equal or greater than zero.","Valore ttl ""%1"" non valido. Utilizzare solo numeri maggiori o uguali a zero."
"Varnish Cache (Recommended)","Varnish Cache (consigliata)"
"Unsupported varnish version","Versione non supportata di Varnish"
"Caching Application","Caching Applicazione"
"Varnish Configuration","Configurazione Varnish"
"Access list","Elenco accesso"
"IPs access list separated with ',' that can purge Varnish configuration for config file generation.
                            If field is empty default value localhost will be saved.","Elenco accessi IP separati con ',' che possono svuotare la configurazione di Varnish per la generazione del file config.                             Se il campo è vuoto verrà salvato il valore localhost di default."
"Backend host","Host Backend"
"Specify backend host for config file generation. If field is empty default value localhost will be saved.","Specificare gli host di backend per la generazione del file config. Se il campo è vuoto verrà salvato il valore predefinito localhost."
"Backend port","Porta backend"
"Specify backend port for config file generation. If field is empty default value 8080 will be saved.","Specifica la porta backend per la generazione del file config. Se il campo è vuoto verrà salvato il valore predefinito 8080."
"Grace period","Periodo di grazia"
"Specify grace period in seconds for config file generation. If field is empty default value 300 will be saved. This grace period will be used to serve cached content when the server is healthy. If the server is not healthy, cached content will be served for 3 days before failing.","Specificare il periodo di grazia in secondi per la generazione del file config. Se il campo è vuoto verrà salvato il valore di default 300. Questo periodo di grazia verrà utilizzato per gestire la cache dei contenuti quando il server è a regime. Se il server presenta dei problemi, i contenuti della cache saranno utilizzati per 3 giorni prima di fallire."
"TTL for public content","TTL per contenuti pubblici"
"Public content cache lifetime in seconds. If field is empty default value 86400 will be saved.","Durata della cache del contenuto pubblico in secondi. Se il campo è vuoto, verrà salvato il valore predefinito 86400."
"Export VCL for Varnish ","Esporta VCL per Varnish "
"Built-in Application (Not Recommended for Production Use)","Applicazione integrata (non raccomandato per uso in produzione)"
"Varnish Caching","Caching Varnish"
"Credit Memos","Nota di credito"
Orders,Ordini
Invoices,Fatture
"We can't get the order instance right now.","Non possiamo ottenere l'istanza dell'ordine in questo momento."
"Create New Order","Crea nuovo ordine"
"Save Order Address","Salva l'indirizzo per l'ordine"
Shipping,Spedizione
Billing,Fatturazione
"Edit Order %1 %2 Address","Modifica ordine %1 %2 indirizzo"
"Order Address Information","Informazioni sull'indirizzo dell'ordine"
"Please correct the parent block for this block.","Correggi il blocco genitore per questo blocco."
"Submit Comment","Invia Commento"
"Submit Order","Invia ordine"
"Are you sure you want to cancel this order?","Sei sicuro di che voler annullare l'ordine?"
"Order Comment","Commenti ordine"
"Please select a customer","Seleziona un cliente"
"Create New Customer","Crea nuovo cliente"
"Edit Order #%1","Modifica l'ordine #%1"
"Create New Order for %1 in %2","Crea nuovo ordine per %1 in %2"
"Create New Order in %1","Crea Nuovo Ordine per %1"
"Create New Order for %1","Crea nuovo ordine per %1"
"Create New Order for New Customer","Crea nuovo ordine per il nuovo cliente"
"Items Ordered","Articoli ordinati"
"This product is disabled.","Questo prodotto è disabilitato."
"Buy %1 for price %2","Acquista %1 al prezzo di %2"
"Item ordered qty","Qtà elemeno ordinati"
"%1 with %2 discount each","%1 con %2 di sconto ciascuno"
"%1 for %2","%1 per %2"
"* - Enter custom price including tax","* - Inserisci prezzo personalizzato incluse tasse"
"* - Enter custom price excluding tax","* - Inserisci prezzo personalizzato escluse tasse"
Configure,Configura
"This product does not have any configurable options","Questo prodotto non dispone di eventuali opzioni configurabili"
"Newsletter Subscription","Iscrizione alla newsletter"
"Please select products","Seleziona i prodotti"
"Add Selected Product(s) to Order","Aggiungi prodotti selezionati all'ordine"
"Update Changes","Aggiorna modifiche"
"Shopping Cart",Carrello
"Are you sure you want to delete all items from shopping cart?","Sei sicuro di che voler eliminare tutti gli articoli dal carrello?"
"Clear Shopping Cart","Svuota Carrello"
"Products in Comparison List","Prodotti nella lista di confronto"
"Recently Compared Products","Prodotti comparati di recente"
"Recently Viewed Products","Prodotti visti di recente"
"Last Ordered Items","Ultimi articoli ordinati"
"Recently Viewed","Visti di recente"
"Wish List","Lista desideri"
"Please select a store","Seleziona un negozio"
"Order Totals","Totali ordine"
"Shipping Incl. Tax (%1)","Spedizione tasse incluse (%1)"
"Shipping Excl. Tax (%1)","Spedizione tasse escluse (%1)"
"New Credit Memo for Invoice #%1","Nuova nota di credito per la fattura #%1"
"New Credit Memo for Order #%1","Nuova nota di credito per l'ordine #%1"
"Refund Shipping (Incl. Tax)","Rimborso spedizione (Tasse incl.)"
"Refund Shipping (Excl. Tax)","Rimborso spedizione (Tasse escl.)"
"Refund Shipping","Rimborso spedizione"
"Update Qty's","Aggiornamento qtà"
Refund,Rimborso
"Refund Offline","Rimborso offline"
"Paid Amount","Importo pagato"
"Refund Amount","Importo rimborso"
"Shipping Amount","Importo di spedizione"
"Shipping Refund","Rimborso spedizione"
"Order Grand Total","Totale complessivo ordine"
"Adjustment Refund","Rimborso Adeguamento"
"Adjustment Fee","Quota di adeguamento"
"Send Email","Invia email"
"Are you sure you want to send a credit memo email to customer?","Sei sicuro di voler inviare una email per la nota di credito al cliente?"
Void,Vuoto
Print,Stampa
"The credit memo email was sent.","È stata inviata l'email di nota di credito."
"The credit memo email wasn't sent.","L'email della nota di credito non è stata inviata."
"Credit Memo #%1 | %3 | %2 (%4)","Nota di credit #%1 | %3 | %2 (%4)"
"Total Refund","Rimborso totale"
"New Invoice and Shipment for Order #%1","Nuova fattura e spedizione per ordine #%1"
"New Invoice for Order #%1","Nuova fattura per ordine #%1"
"Submit Invoice and Shipment","Invia la fattura e la spedizione"
"Submit Invoice","Invia la fattura"
"Are you sure you want to send an invoice email to customer?","Sei sicuro di voler inviare un'email fattura al cliente?"
"Credit Memo","Nota di credito"
Capture,Acquisisci
"The invoice email was sent.","L'email della fattura è stata inviata."
"The invoice email wasn't sent.","L'email della fattura non è stata inviata."
"Invoice #%1 | %2 | %4 (%3)","Fattura%1 # | %2 | %4 (%3)"
"Invalid parent block for this block","Blocco parente non valido per questo blocco"
"Order Statuses","Status ordine"
"Create New Status","Crea nuovo status"
"Assign Status to State","Assegna uno status ad uno stato"
"Save Status Assignment","Salva l'assegnazione dello stato"
"Assign Order Status to State","Assegna lo status ordine allo stato"
"Assignment Information","Informazioni sulle assegnazioni"
"Order State","Stato ordine"
"Use Order Status As Default","Usa lo status dell'ordine come predefinito"
"Visible On Storefront","Visibile sul Frontend"
"Edit Order Status","Modifica lo status dell'ordine"
"Save Status","Salva Status"
"Order Status Information","Informazioni sullo status dell'ordine"
"Status Code","Codice Status"
"Status Label","Etichetta Status"
"Store View Specific Labels","Etichette vista negozio"
"Total Paid","Totale pagato"
"Total Refunded","Totale rimborsato"
"Total Due","Totale dovuto"
"Are you sure you want to send an order email to customer?","Sei sicuro di voler inviare una email al cliente?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Questo creerà un rimborso offline. Per creare un rimborso on-line, aprire una fattura e creare nota di credito per questa. Vuoi continuare?"
"Are you sure you want to void the payment?","Sei sicuro di che voler annullare il pagamento?"
Hold,"In sospeso"
hold,"in sospeso"
Unhold,Ripristinato
unhold,ripristinato
"Are you sure you want to accept this payment?","Sei sicuro di che voler accettare questo pagamento?"
"Accept Payment","Accetta il pagamento"
"Are you sure you want to deny this payment?","Sei sicuro di voler negare questo pagamento?"
"Deny Payment","Nega pagamento"
"Get Payment Update","Ottieni aggiornamento pagamento"
"Invoice and Ship","Fattura e spedisci"
Ship,Spedisci
Reorder,Riordina
"Order # %1 %2 | %3","Ordine n. %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","Questo ordine contiene (%1) articoli e, pertanto, non può essere modificato tramite l'interfaccia di amministrazione. Se si desidera continuare a modificare, saranno rimossi i (%2) elementi, l'ordine sarà annullato e un nuovo ordine sarà creato."
"Are you sure? This order will be canceled and a new one will be created instead.","Sei sicuro? Questo ordine verrà annullato e ne verrà creato uno nuovo."
"Save Gift Message","Salva messaggio regalo"
" [deleted]"," [eliminato]"
"Order Credit Memos","Note di credito ordine"
"Credit memo #%1 created","Nota di credito #%1 creata"
"Credit memo #%1 comment added","Aggiungo commento nella nota di credito #%1"
"Shipment #%1 created","Spedizione #%1 creata"
"Shipment #%1 comment added","Aggiunto commento alla spedizione #%1"
"Invoice #%1 created","Fattura #%1 creata"
"Invoice #%1 comment added","Aggiunto commento alla fattura #%1"
"Tracking number %1 for %2 assigned","Numero di tracciamento %1 per %2 assegnato"
"Comments History","Cronologia commenti"
Information,Informazioni
"Order Information","Informazioni ordine"
"Order Invoices","Fattura ordine"
Shipments,Spedizioni
"Order Shipments","Spedizioni ordine"
Transactions,Transazioni
"Order View","Mostra Ordine"
Any,Qualsiasi
Specified,Specificato
"Applies to Any of the Specified Order Statuses except canceled orders","Applica ad uno qualsiasi degli status ordine eccetto gli ordini annullati"
"Cart Price Rule","Regola di prezzo del carrello"
"Show Actual Values","Mostra i valori attuali"
"New Order RSS","Nuovo ordine RSS"
Subtotal,Subtotale
"Shipping & Handling","Spedizione e gestione"
"Discount (%1)","Sconto (%1)"
Discount,Sconto
"Grand Total","Totale complessivo"
"Transaction # %1 | %2","Transazione # %1 | %2"
Value,Valore
"We found an invalid entity model.","Abbiamo trovato un entity model non valido."
"Order # %1","Ordine # %1"
"Back to My Orders","Torna ai miei ordini"
"View Another Order","Mostra un altro ordine"
"About Your Refund","Informazioni sul tuo rimborso"
"My Orders","I Miei ordini"
"Subscribe to Order Status","Iscriviti per gli status dell'ordine"
"About Your Invoice","Info sulla tua fattura"
"Print Order # %1","Stampa ordine # %1"
"Grand Total to be Charged","Totale complessivo da riscuotere"
Unassign,"Non assegnato"
"You sent the message.","Il messaggio è stato inviato."
Sales,Vendite
"Invoice capturing error","Errore durante l'acquisizione della fattura"
"This order no longer exists.","L'ordine non esiste più."
"Please enter a comment.","Inserisci un commento."
"We cannot add order history.","Non è possibile aggiungere cronologia ordini."
"You updated the order address.","Hai aggiornato l'indirizzo dell'ordine."
"We can't update the order address right now.","Non è possibile aggiornare l'indirizzo dell'ordine in questo momento."
"You have not canceled the item.","Non hai cancellato questo elemento."
"You canceled the order.","Hai annullato l'ordine."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","Il codice coupon ""%1"" non è stato applicato. Non applicare lo sconto se è selezionato per gli elementi"
"""%1"" coupon code is not valid.","Il codice coupon ""%1"" non è valido."
"The coupon code has been accepted.","Il codice coupon è stato accettato."
"Quote item id is not received.","L'articolo quotato non è stato ricevuto."
"Quote item is not loaded.","L'articolo non è stato caricato."
"New Order","Nuovo ordine"
"Cannot add new comment.","Non è possibile aggiungere un nuovo commento."
"The credit memo has been canceled.","La nota di credito è stata annullata."
"Credit memo has not been canceled.","La nota di credito non è stata annullata."
"New Memo for #%1","Nuova nota per #%1"
"New Memo","Nuova nota"
"The credit memo's total must be positive.","Il totale della nota di credito deve essere positivo."
"Cannot create online refund for Refund to Store Credit.","Non è possibile creare un rimborso online per il Rimborso al credito del negozio."
"You created the credit memo.","È stata creata la nota di credito."
"We can't save the credit memo right now.","Non è possibile salvare la nota di credito in questo momento."
"We can't update the item's quantity right now.","Non è possibile aggiornare la quantità degli elementi in questo momenti."
"View Memo for #%1","Mostra nota per #%1"
"View Memo","Mostra Nota"
"You voided the credit memo.","Hai annullato la nota di credito."
"We can't void the credit memo.","Non è possibile annullare la nota di credito."
"The order no longer exists.","L'ordine non esiste più."
"We can't create credit memo for the order.","Non è possibile creare la nota di credito per l'ordine."
"Edit Order","Modifica ordine"
"You sent the order email.","Hai inviato l'email per l'ordine."
"We can't send the email order right now.","Non è possibile inviare l'email dell'ordine in questo momento."
"You have not put the order on hold.","Non hai messo l'ordine in sopeso."
"You put the order on hold.","Hai messo l'ordine in sopeso."
"You canceled the invoice.","Hai annullato la fattura."
"Invoice canceling error","Errore durante la cancellazione della fattura"
"The invoice has been captured.","La fattura è stata acquisita."
"The order does not allow an invoice to be created.","L'ordine non consente di creare una fattura."
"You can't create an invoice without products.","Non è possibile creare una fattura senza prodotti."
"New Invoice","Nuova fattura"
"We can't save the invoice right now.","Non è possibile salvare la fattura in questo momento."
"You created the invoice and shipment.","Hai creato la fattura e spedizione."
"The invoice has been created.","La fattura è stata creata."
"We can't send the invoice email right now.","Non è possibile inviare l'email di fattura in questo momento."
"We can't send the shipment right now.","Non possiamo inviare la spedizione in questo momento."
"Cannot update item quantity.","Non è possibile aggiornare la quantità dell'articolo."
"The invoice has been voided.","La fattura è stata annullata."
"Invoice voiding error","Errore di annullamento della fattura"
"%1 order(s) cannot be canceled."," %1 ordini non possono essere annullati."
"You cannot cancel the order(s).","Non è possibile annullare gli ordini."
"We canceled %1 order(s).","Sono stati annullati %1 ordini."
"%1 order(s) were not put on hold.","%1 ordini non sono stati messi in sospeso."
"No order(s) were put on hold.","Nessun ordine è stato messo in sopeso."
"You have put %1 order(s) on hold.","Hai messo in sopeso %1 ordini."
"%1 order(s) were not released from on hold status.","%1 ordini non sono stati rilasciati dallo status di sospensione."
"No order(s) were released from on hold status.","Nessun ordine è stato rilasciato dallo status di sospensione."
"%1 order(s) have been released from on hold status.","%1 ordini sono stati rilasciati dallo status di sospensione."
"There are no printable documents related to selected orders.","Non esistono documenti stampabili correlati agli ordini selezionati."
"The payment has been accepted.","Il pagamento è stato accettato."
"The payment has been denied.","Il pagamento è stato negato."
"Transaction has been approved.","La transazione è stata approvata."
"Transaction has been voided/declined.","La transazione è stata annullata, rifiutata."
"There is no update for the transaction.","Non c'è nessun aggiornamento per la transazione."
"We can't update the payment right now.","Non è possibile aggiornare il pagamento in questo momento."
"You assigned the order status.","L'hai assegnato allo status ordine."
"Something went wrong while assigning the order status.","Qualcosa è andato storto durante l'assegnazione dello status dell'ordine."
"We can't find this order status.","Non è possibile trovare questo status ordine."
"Create New Order Status","Crea nuovo status dell'ordine"
"We found another order status with the same order status code.","Abbiamo trovato un altro status dell'ordine con lo stesso codice."
"You saved the order status.","Hai salvato lo status dell'ordine."
"We can't add the order status right now.","Non è possibile aggiungere uno status ordine in questo momento."
"You have unassigned the order status.","Hai rimosso l'assegnazione dello status ordine."
"Something went wrong while unassigning the order.","Qualcosa è andato storto durante la procedura di annullamento assegnazione dell'ordine."
"Can't unhold order.","Non è possibile sbloccare ordine."
"You released the order from holding status.","Hai sbloccato l'ordine dallo status bloccato."
"The order was not on hold.","L'ordine non era bloccato."
"Exception occurred during order load","Si è verificata un eccezione durante il caricamento dell'ordine"
"Something went wrong while saving the gift message.","Qualcosa è andato storto durante il salvataggio del messaggio regalo."
"You saved the gift card message.","Hai salvato il messaggio della gift card."
"The payment has been voided.","Il pagamento è stato annullato."
"We can't void the payment right now.","Non è possibile annullare il pagamento in questo momento."
"Please correct the transaction ID and try again.","Correggi l'ID transazione e riprova."
"The transaction details have been updated.","I dettagli della transazione sono stati aggiornati."
"We can't update the transaction details.","Impossibile aggiornare i dettagli della transazione."
"You entered incorrect data. Please try again.","Hai inserito dati non corretti. Riprova."
"We can't find this wish list.","Non riusciamo a trovare questa lista dei desideri."
"We could not add a product to cart by the ID ""%1"".","Impossibile aggiungere un prodotto al carrello tramite l'ID ""%1""."
"There is an error in one of the option rows.","C'è un errore in una delle righe di opzione."
"Shipping Address: ","Indirizzo di Spedizione: "
"Billing Address: ","Indirizzo di Fatturazione: "
"Please specify order items.","Specificare gli articoli dell'ordine."
"Please specify a shipping method.","Specificare un metodo di spedizione."
"Please specify a payment method.","Specificare un metodo di pagamento."
"This payment method is not available.","Questo metodo di pagamento non è disponibile."
"Validation is failed.","Convalida non riuscita."
"You did not email your customer. Please check your email settings.","Non hai mandato l'email al tuo cliente. Controlla le impostazioni delle email."
"Path ""%1"" is not part of allowed directory ""%2""","Path ""%1"" non fa parte della direttory consentita ""%2"""
"Identifying Fields required","Identificazione cambi obbligatori"
"Id required","Id obbligatorio"
"""Invoice Document Validation Error(s):\n"" .","""Errori convalida documenti fattura(e):\n""."
"Could not save an invoice, see error log for details","Impossibile salvare una fattura, vedere log degli errori per i dettagli"
"A hold action is not available.","L'azione ""blocca"" non è disponibile."
"You cannot remove the hold.","Non è possibile rimuovere il blocco."
"We cannot cancel this order.","Non è possibile annullare l'ordine."
Guest,Ospite
"Please enter the street.","Inserisci la via."
"Please enter the city.","Inserisci la città."
"Please enter the phone number.","Inserisci il numero di telefono."
"Please enter the company.","Per favore inserisci l'azienda."
"Please enter the fax number.","Inserisci il numero di fax."
"Please enter the zip/postal code.","Inserisci il codice postale."
"Please enter the country.","Inserisci il paese."
"Please enter the state/province.","Inserisci la provincia."
"Requested entity doesn't exist","L'entità richiesta non esiste"
"Could not delete order address","Impossibile eliminare l'indirizzo d'ordine"
"Could not save order address","Impossibile salvare l'indirizzo d'ordine"
Pending,"In attesa"
Refunded,Rimborsati
Canceled,Cancellato
"Unknown State","Stato sconosciuto"
"Could not delete the comment.","Impossibile cancellare il commento."
"Could not save the creditmemo comment.","Impossibile salvare il commento della nota di credito."
"We found an invalid quantity to refund item ""%1"".","Quantità non valida di rimborso articolo ""%1""."
"The creditmemo contains product item that is not part of the original order.","La nota di credito contiene prodotti che non fanno parte dell'ordine originale."
"The quantity to refund must not be greater than the unrefunded quantity.","La quantità da rimborsare non può essere superiore alla quantità non rimborsata."
"Could not delete the credit memo item.","Impossibile eliminare l'articolo della nota di credito."
"Could not save the credit memo item.","Impossibile salvare l'articolo della nota di credito."
"Maximum shipping amount allowed to refund is: %1","L'importo massimo concesso per il rimborso della spedizione è: %1"
"Order Id is required for creditmemo document","L'id ordine è obbligatorio per la nota di credito"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","La nota di credito contiene il prodotto con SKU ""%1"" che non fa parte dell'ordine originale."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","La quantità da inserire in nota di credito non può essere superiore alla quantità non rimborsata per il prodotto con SKU ""%1""."
"You can't create a creditmemo without products.","Non puoi creare una nota di credito senza prodotti."
"The most money available to refund is %1.","Il denaro massimo disponibile al rimborso è di %1."
"Could not delete credit memo","Impossibile eliminare la nota di credito"
"Could not save credit memo","Impossibile salvare la nota di credito"
"This order already has associated customer account","Questo ordine ha già associato un account cliente"
Paid,Pagato
"We cannot register an existing invoice","Impossibile registrare una fattura esistente"
"Could not delete the invoice comment.","Impossibile cancellare il commento della fattura."
"Could not save the invoice comment.","Impossibile salvare il commento della fattura."
"Could not delete the invoice item.","Impossibile eliminare l'articolo della fattura."
"Could not save the invoice item.","Impossibile salvare l'articolo della fattura."
"We can't create creditmemo for the invoice.","Non è possibile creare la nota di credito per la fattura."
"Order Id is required for invoice document","L'id ordine è obbligatorio per la fattura"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","La quantità da fatturare non deve essere maggiore della quantità non fatturata per prodotto con SKU ""%1""."
"The invoice contains one or more items that are not part of the original order.","La fattura contiene uno o più articoli che non fanno parte dell'ordine originale."
"ID required","ID obbligatorio"
"Unknown Status","Stato sconosciuto"
Shipped,Spediti
Invoiced,Fatturati
Backordered,"Ordine arretrato"
Returned,Restituito
Partial,Parziale
Mixed,Misto
"Registered a Void notification.","Registrata una notifica vuota."
"If the invoice was created offline, try creating an offline credit memo.","Se la fattura è stata creata offline, provare a creare una nota di credito offline."
"We refunded %1 online.","Sono stati rimborsati %1 online."
"We refunded %1 offline.","Sono stati rimborsati %1 offline."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Rimborsato"". Rimborso emesso dal commerciante. Registrata notifica sull'importo rimborsato di %1. ID transazione: ""%2"". La nota di credito non è stata creata. Crea nota di credito offline."
"The credit memo has been created automatically.","La nota di credito è stata creata automaticamente."
"Registered notification about refunded amount of %1.","Registrata notifica riguardante l'importo rimborsato di %1."
"Canceled order online","Ordine annullato online"
"Canceled order offline","Ordine annullato offline"
"Approved the payment online.","Pagamento approvato online."
"There is no need to approve this payment.","Non c'è nessun bisogno di approvare questo pagamento."
"Denied the payment online","Pagamento negato online"
"Registered update about approved payment.","Aggiornamento registrato riguardante pagamento approvato."
"Registered update about denied payment.","Aggiornamento registrato riguardante pagamento negato."
"There is no update for the payment.","Non c'è nessun aggiornamento per il pagamento."
"Voided authorization.","Autorizzazione annullata."
"Amount: %1.","Importo: %1."
"Transaction ID: ""%1""","ID transazione: ""%1"""
"The payment method you requested is not available.","Il metodo di pagamento che hai richiesto non è disponibile."
"The payment disallows storing objects.","Il pagamento non consente l'archiviazione di oggetti."
"The transaction ""%1"" cannot be captured yet.","La transazione ""%1"" non può ancora essere acquisita."
"The parent transaction ID must have a transaction ID.","L'ID della transazione genitore deve avere un ID di transazione."
"Payment transactions disallow storing objects.","Le operazioni di pagamento non consentono l'archiviazione di oggetti."
"The transaction ""%1"" (%2) is already closed.","La transazione ""%1"" (%2) è già chiusa."
"Set order for existing transactions not allowed","Imposta l'ordine per le transazioni esistenti non permesse"
"At minimum, you need to set a payment ID.","Al minimo, è necessario impostare un ID di pagamento."
Order,Ordine
Authorization,Autorizzazione
"We found an unsupported transaction type ""%1"".","Abbiamo trovato un tipo di transazione non supportato ""%1""."
"Please set a proper payment and order id.","Si prega di impostare un id di pagamento e d'ordine corretto."
"Please enter a Transaction ID.","Inserisci un ID transazione."
"You can't do this without a transaction object.","Non è possibile farlo senza un oggetto transazione."
"Order # ","Ordine # "
"Order Date: ","Data Ordine: "
"Sold to:","Venduto a:"
"Ship to:","Spedire a:"
"Payment Method:","Metodo di pagamento:"
"Shipping Method:","Metodo di Spedizione:"
"Total Shipping Charges","Totale spese di spedizione"
Number,Numero
"We found an invalid renderer model.","È stato trovato un renderer model non valido."
"Please define the PDF object before using.","Definire l'oggetto PDF prima di utilizzarlo."
"Total (ex)","Totale (es)"
"Total (inc)","Totale (inc)"
"Credit Memo # ","Nota di credito # "
"Invoice # ","Fattura # "
"The order object is not specified.","L'oggetto dell'ordine non è specificato."
"The source object is not specified.","Il sorgente dell'oggetto non è specificato."
"An item object is not specified.","Un elemento oggetto non è specificato."
"A PDF object is not specified.","Un oggetto PDF non è specificato."
"A PDF page object is not specified.","Una pagina PDF non è specificata."
"Packing Slip # ","Documento di trasporto # "
title,titolo
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","Il modello totale PDF %1 deve essere o estendere \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal."
"Received check doesn't match interface","Il check ricevuto non corrisponde all'interfaccia"
"We cannot register an existing shipment","Non possiamo registrare una spedizione esistente"
"Could not delete the shipment comment.","Impossibile cancellare il commento della spedizione."
"Could not save the shipment comment.","Impossibile salvare il commento della spedizione."
"Could not delete the shipment item.","Impossibile eliminare l'articolo della spedizione."
"Could not save the shipment item.","Impossibile salvare l'articolo della spedizione."
"Parent shipment cannot be loaded for track object.","Spedizione Parente non può essere caricata per traccia oggetto."
"Could not delete the shipment tracking.","Impossibile cancellare il tracciamento della spedizione."
"Could not save the shipment tracking.","Impossibile salvare il tracciamento della spedizione."
"Order Id is required for shipment document","L'id ordine è obbligatorio per i documenti di trasporto"
"You can't create a shipment without products.","Non puoi creare una spedizione senza prodotti."
"The shipment contains product SKU ""%1"" that is not part of the original order.","La spedizione contiene il prodotto con SKU ""%1"" che non fa parte dell'ordine originale."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","La quantità da spedire non deve essere superiore alla quantità non spedita per il prodotto con SKU ""%1""."
"Please enter a tracking number.","Inserisci un numero di tracciamento."
"Could not delete shipment","Impossibile eliminare la spedizione"
"Could not save shipment","Non è possibile salvare la spedizione"
"The last status can't be unassigned from its current state.","L'ultimo status non può essere disassegnato dal suo stato corrente."
"Status can't be unassigned, because it is used by existing order(s).","Lo status non può essere disassegnato perchè è utilizzato da ordini esistenti."
"Could not delete the order status history.","Impossibile eliminare la cronologia di stato ordine."
"Could not save the order status history.","Impossibile salvare la cronologia di stato ordine."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","Il modello totale dovrebbe essere esteso da \Magento\Sales\Model\Order\Total\AbstractTotal."
"An invoice cannot be created when an order has a status of %1","Impossibile creare la fattura quando l'ordine ha lo stato %1"
"A creditmemo can not be created when an order has a status of %1","Una nota di credito non può essere creata quando l'ordine è in stato di %1"
"The order does not allow a creditmemo to be created.","L'ordine non consente di creare una nota di credito."
"A shipment cannot be created when an order has a status of %1","Una spedizione non può essere creata quando l'ordine è in stato di %1"
"The order does not allow a shipment to be created.","L'ordine non consente di creare una spedizione."
"""Creditmemo Document Validation Error(s):\n"" .","""Errori convalida Nota/e di Credito:\n""."
"Could not save a Creditmemo, see error log for details","Impossibile salvare una Nota di Credito, vedere log degli errori per maggiori dettagli"
"We cannot determine the field name.","Non è possibile determinare il nome del campo."
"We can't save the address:\n%1","Impossibile salvare l'indirizzo:\n%1"
"Cannot save comment:\n%1","Non posso salvare il commento:\n%1"
"We don't have enough information to save the parent transaction ID.","Non abbiamo abbastanza informazioni per salvare l'ID transazione genitore."
"We cannot create an empty shipment.","Non è possibile creare una spedizione vuota."
"Cannot save track:\n%1","Non è possibile salvare la traccia:
%1"
"Cannot unassign status from state","Non è possibile annullare l'assegnazione dello status dallo stato"
"New Orders","Nuovi ordini"
"Order #%1 created at %2","Ordine #%1 creato su %2"
"Details for %1 #%2","Dettagli per %1 #%2"
"Notified Date: %1","Data notifica: %1"
"Comment: %1<br/>","Commento: %1 <br/>"
"Current Status: %1<br/>","Status attuale: %1 <br/>"
"Total: %1<br/>","Totale: %1 <br/>"
"Order # %1 Notification(s)","Ordine # %1 Notifiche"
"You can not cancel Credit Memo","Non è possibile annullare la nota di credito"
"Could not cancel creditmemo","Non è possibile annullare la nota di credito"
